Fri Jun 05 16:44:04 +0000 2020,"#birthdayforbreonna #sayhername  
we are fighting for you 🤍 to demand justice for her and her family text ENOUGH to 55156 or visit https://t.co/GzI25k6Bv3 https://t.co/TmJzXWqoFV","#birthdayforbreonna #sayhername  
we are fighting for you 🤍 to demand justice for her and her family text ENOUGH to 55156 or visit  "
Wed Jun 03 20:38:28 +0000 2020,"today campaign zero launched #8cantwait, a list of 8 policies to reduce police violence that can be changed immediately and save lives. please check out your city to see what can be done locally. https://t.co/my51Peynq2 https://t.co/dtYv8luLTC","today campaign zero launched #8cantwait, a list of 8 policies to reduce police violence that can be changed immediately and save lives. please check out your city to see what can be done locally.  "
Wed Jun 03 20:31:33 +0000 2020,"progress was made but let’s not get distracted. there is still so much to learn and do! please make sure you are registered to vote and ready for your state’s elections. also, note that voting from home is an option too thanks to @headcountorg 🖤 https://t.co/n8ZRpRoifn https://t.co/DeHc1RJXtm","progress was made but let’s not get distracted. there is still so much to learn and do! please make sure you are registered to vote and ready for your state’s elections. also, note that voting from home is an option too thanks to @headcountorg   "
Tue Jun 02 19:03:57 +0000 2020,today ! https://t.co/wpdt8m6ul2,today ! 
Tue Jun 02 00:17:15 +0000 2020,".... as u fill out your ballot, please research / make informed choices. pay attention to how the candidates running have responded in this moment. 

let’s do everything we can big or small to make the changes necessary to fix the system. 
pls stay safe.

https://t.co/PNRm3VyUZh",".... as u fill out your ballot, please research / make informed choices. pay attention to how the candidates running have responded in this moment. 

let’s do everything we can big or small to make the changes necessary to fix the system. 
pls stay safe.

"
Tue Jun 02 00:16:49 +0000 2020,"speechless...
 
nine states have primary elections on june 2nd.
if u live in one of these states, please take things one step further by voting out the corrupt officials (not just the president) that are encouraging systematic racism and discrimination. https://t.co/FtxrFwOxIN https://t.co/BvakqJFfg4","speechless...
 
nine states have primary elections on june 2nd.
if u live in one of these states, please take things one step further by voting out the corrupt officials (not just the president) that are encouraging systematic racism and discrimination.  "
Mon Jun 01 19:30:35 +0000 2020,"thank you for continuing to be such an incredible leader to us. 
more so than anyone else. 
this is why it is of utmost importance to register to vote and get educated on / ready for the primaries in your state. please register today if u haven’t already: https://t.co/B7cu7izTsd https://t.co/begdX04Eo0","thank you for continuing to be such an incredible leader to us. 
more so than anyone else. 
this is why it is of utmost importance to register to vote and get educated on / ready for the primaries in your state. please register today if u haven’t already:  "
Sun May 31 19:28:36 +0000 2020,"stay active, stay energized, keep sharing, keep learning 🖤 sending strength and if you are protesting today please be safe

@blklivesmatter @blmla and @wp4bl have shared more ways to help: https://t.co/0KEKcJkTzm","stay active, stay energized, keep sharing, keep learning  sending strength and if you are protesting today please be safe

@blklivesmatter @blmla and @wp4bl have shared more ways to help: "
Sun May 31 18:28:26 +0000 2020,"hours and miles of peaceful protesting yesterday that got little to no coverage.
all throughout beverly hills and west hollywood we chanted, people beeped and cheered along. 
we were passionate, we were loud, we were loving. 
cover this too please. 
#BLACKLIVESMATTER https://t.co/vD90CEtF94 https://t.co/GZ6uKDfPM7","hours and miles of peaceful protesting yesterday that got little to no coverage.
all throughout beverly hills and west hollywood we chanted, people beeped and cheered along. 
we were passionate, we were loud, we were loving. 
cover this too please. 
#BLACKLIVESMATTER  "
Fri May 29 19:10:03 +0000 2020,is. nine states have a primary on tuesday. the items on these ballots impact our day to day lives. we’re voting for more than the president. use ur voice and check out @headcountorg for resources.,is. nine states have a primary on tuesday. the items on these ballots impact our day to day lives. we’re voting for more than the president. use ur voice and check out @headcountorg for resources.
Fri May 29 19:09:45 +0000 2020,"a lot of things feel scary, dangerous and uncertain right now... but there are things within our control: voting, contacting lawmakers, and taking the census. the most important thing you can do right now to take the power back is become a voter and know when your next election.. https://t.co/SGRlNlwUgE","a lot of things feel scary, dangerous and uncertain right now... but there are things within our control: voting, contacting lawmakers, and taking the census. the most important thing you can do right now to take the power back is become a voter and know when your next election.. "
Fri May 29 18:02:36 +0000 2020,a murderer is being held in protective custody. https://t.co/ESHeGdOxlJ,a murderer is being held in protective custody. 
Thu May 28 20:10:44 +0000 2020,"please keep signing these petitions, making donations, having conversations w family and friends about it, reading and sharing links and resources... gentle reminder that this doesn’t end today or tomorrow or after you post about it once. #blacklivesmatter https://t.co/c6YjQCb6p2","please keep signing these petitions, making donations, having conversations w family and friends about it, reading and sharing links and resources... gentle reminder that this doesn’t end today or tomorrow or after you post about it once. #blacklivesmatter "
Thu May 28 19:05:00 +0000 2020,outtakes @alfredoflores. in case u ever question my love for u @ladygaga please refer back to this. https://t.co/bnpNU7nlEX,outtakes @alfredoflores. in case u ever question my love for u @ladygaga please refer back to this. 
Thu May 28 17:38:29 +0000 2020,https://t.co/z1wVRV2Glb,
Thu May 28 17:34:24 +0000 2020,many @AlfredoFlores https://t.co/BA62O6Gu3P,many @AlfredoFlores 
Thu May 28 17:33:21 +0000 2020,thank u sm i did it https://t.co/xFwNXxmiZc,thank u sm i did it 
Thu May 28 17:06:27 +0000 2020,i’ll do anything to earn my umbrella back @ladygaga pls https://t.co/TZCfpIHssf,i’ll do anything to earn my umbrella back @ladygaga pls 
Thu May 28 02:57:38 +0000 2020,"#justiceforGeorgeFloyd

text FLOYD to 55156
@colorofchange 

to put pressure on DA Mike Freeman to charge and arrest these officers call 612-348-5550

and please sign the @change petition https://t.co/glMKn5IlPU","#justiceforGeorgeFloyd

text FLOYD to 55156
@colorofchange 

to put pressure on DA Mike Freeman to charge and arrest these officers call 612-348-5550

and please sign the @change petition "
Wed May 27 21:54:00 +0000 2020,https://t.co/OYyjExqodV https://t.co/WDAZy4Ptfr, 
Wed May 27 04:44:15 +0000 2020,@ladygaga @joangrande omg,@ladygaga @joangrande omg
Tue May 26 23:39:39 +0000 2020,so excited. love u more mama. https://t.co/yvp3VuIFFB,so excited. love u more mama. 
Tue May 26 22:57:06 +0000 2020,https://t.co/1ZvnksjOJi,
Tue May 26 22:53:49 +0000 2020,i love himmmmmmmmm 🥰 https://t.co/PKqqxojqs9,i love himmmmmmmmm 🥰 
Tue May 26 22:47:44 +0000 2020,https://t.co/OYyjExqodV mood https://t.co/LEXsv6XwUX, mood 
Tue May 26 22:44:57 +0000 2020,i think so. or just @joangrande alone. https://t.co/bqTUtDTUqP,i think so. or just @joangrande alone. 
Tue May 26 21:29:57 +0000 2020,parched @ladygaga #rainonme 🌧https://t.co/OYyjExqodV @weatherchannel https://t.co/gTXGWQ31zf,parched @ladygaga #rainonme  @weatherchannel 
Tue May 26 18:53:28 +0000 2020,we love u UK :) thank u https://t.co/3gUgCwI9tt,we love u UK :) thank u 
Mon May 25 20:13:12 +0000 2020,also rain on me makes me so mf happy @ladygaga thank u,also rain on me makes me so mf happy @ladygaga thank u
Mon May 25 20:07:46 +0000 2020,"and just wanted to say thank u for everything
u make this life so fun
i can’t wait to perform for u again and see u and make new memories 
okay bye","and just wanted to say thank u for everything
u make this life so fun
i can’t wait to perform for u again and see u and make new memories 
okay bye"
Mon May 25 20:06:07 +0000 2020,"hello
i miss and love u all so much","hello
i miss and love u all so much"
Mon May 25 20:05:22 +0000 2020,same https://t.co/ZC42Y4xX0Q,same 
Sat May 23 18:01:39 +0000 2020,"rain on me 🤍@ladygaga
https://t.co/OYyjEx8Nmn https://t.co/0u4puucvFE","rain on me 🤍@ladygaga
 "
Fri May 22 19:02:25 +0000 2020,https://t.co/2UaRCWLmf2,
Fri May 22 17:07:49 +0000 2020,#rainonme music video out now on @ladygaga’s vevo 🌧 https://t.co/1rE088dZyk https://t.co/lSZeFwD97l,#rainonme music video out now on @ladygaga’s vevo   
Fri May 22 16:01:07 +0000 2020,"1 hour 🌧 #rainonme music video
https://t.co/9ZPovAZNWW https://t.co/l5hYVoalUU","1 hour  #rainonme music video
 "
Fri May 22 04:27:45 +0000 2020,MY ANGEL https://t.co/X9kuRQWqRW,MY ANGEL 
Fri May 22 04:04:26 +0000 2020,"she then held my hand and invited me into the beautiful world of chromatica and together, we got to express how beautiful and healing it feels to mothafuckinnnn cry ! 🌧 i hope this makes u all feel as uplifted as it does for us both. i love u @ladygaga, u stunning superwoman !","she then held my hand and invited me into the beautiful world of chromatica and together, we got to express how beautiful and healing it feels to mothafuckinnnn cry !  i hope this makes u all feel as uplifted as it does for us both. i love u @ladygaga, u stunning superwoman !"
Fri May 22 04:04:26 +0000 2020,"one time ..... i met a woman who knew pain the same way i did... who cried as much as i did, drank as much wine as i did, ate as much pasta as i did and who’s heart was bigger than her whole body. she immediately felt like a sister to me.","one time ..... i met a woman who knew pain the same way i did... who cried as much as i did, drank as much wine as i did, ate as much pasta as i did and who’s heart was bigger than her whole body. she immediately felt like a sister to me."
Fri May 22 04:04:25 +0000 2020,"rain on me 🌧 @ladygaga out now 🖤 music video tomorrow at ten am pst / one pm est 🧚🏼‍♂️ 

https://t.co/OYyjEx8Nmn https://t.co/uG3vnRV52V","rain on me  @ladygaga out now  music video tomorrow at ten am pst / one pm est 🧚‍ 

 "
Fri May 22 03:42:00 +0000 2020,https://t.co/l1i62zqtZ2,
Fri May 22 03:34:53 +0000 2020,https://t.co/AYbSiyZosl,
Fri May 22 03:11:29 +0000 2020,really emotional day okay wish i could hug u rn @ladygaga #onehour #rainonme,really emotional day okay wish i could hug u rn @ladygaga #onehour #rainonme
Fri May 22 03:01:06 +0000 2020,"this isn’t real but fuck me i love it so much. i love u, u incredible, unstoppable woman @ladygaga 🤍one hour ! #rainonme https://t.co/VNbdF3hAXI","this isn’t real but fuck me i love it so much. i love u, u incredible, unstoppable woman @ladygaga 🤍one hour ! #rainonme "
Fri May 22 01:00:08 +0000 2020,three hrs #rainonme https://t.co/nQsjh92Eka 🤍,three hrs #rainonme  🤍
Fri May 22 00:04:37 +0000 2020,four https://t.co/wXHnm2rlUG,four 
Thu May 21 23:46:48 +0000 2020,always https://t.co/wHX7jv8R9f,always 
Thu May 21 23:00:28 +0000 2020,five hours !!! #rainonme @ladygaga https://t.co/25VCpNnGlu,five hours !!! #rainonme @ladygaga 
Thu May 21 21:10:34 +0000 2020,“gotta live my truth not keep it bottled in... so i don’t lose my mind” 🤍☁️🌑🌬🌧 seven hrs #rainonme,“gotta live my truth not keep it bottled in... so i don’t lose my mind” 🤍 seven hrs #rainonme
Thu May 21 19:16:51 +0000 2020,thank u pop / dancing queen mama https://t.co/6ItJFJwfOK,thank u pop / dancing queen mama 
Thu May 21 19:00:30 +0000 2020,nine hrs @ladygaga #rainonme https://t.co/BCNH4XU88L,nine hrs @ladygaga #rainonme 
Thu May 21 18:36:50 +0000 2020,woaaah @ladygaga https://t.co/ygcihnQaF7,woaaah @ladygaga 
Thu May 21 18:11:34 +0000 2020,"i love u so much more. nothing could stop us before either, we just had to realize it ! i’m so excited ☁️ thank u🤍 i’m ready #rainonme https://t.co/NTSTvr9Sc9","i love u so much more. nothing could stop us before either, we just had to realize it ! i’m so excited  thank u🤍 i’m ready #rainonme "
Thu May 21 17:17:26 +0000 2020,"⛈ tonight ⛈
rain on me @ladygaga https://t.co/HuvqfxpXik"," tonight 
rain on me @ladygaga "
Wed May 20 21:26:48 +0000 2020,love u,love u
Tue May 19 06:53:47 +0000 2020,u really have no idea https://t.co/DBHJrDxGvG,u really have no idea 
Tue May 19 06:52:42 +0000 2020,"really means a lot to me 
love u all more than u know https://t.co/qNZd57ZvNA","really means a lot to me 
love u all more than u know "
Tue May 19 06:50:41 +0000 2020,love &amp; appreciate u so so much my angel friend https://t.co/O3rHP2hKCu,love &amp; appreciate u so so much my angel friend 
Tue May 19 06:50:18 +0000 2020,🤍🥺 https://t.co/sfazoWQxPM,🤍🥺 
Mon May 18 20:00:37 +0000 2020,https://t.co/xcQ6RlhUh6,
Mon May 18 19:42:13 +0000 2020,https://t.co/Tr7hrGUQnm,
Mon May 18 16:00:51 +0000 2020,"⛈ teardrops on my face ⛈
rain on me 5/22 @ladygaga https://t.co/BeJFTGGO5a"," teardrops on my face 
rain on me 5/22 @ladygaga "
Sun May 17 19:42:55 +0000 2020,love u most https://t.co/9KYHX5bwfw,love u most 
Sun May 17 19:38:06 +0000 2020,https://t.co/UMxSKOnU6N,
Fri May 15 22:32:45 +0000 2020,🤍 https://t.co/DRZ6EZYqZP,🤍 
Fri May 15 21:31:37 +0000 2020,⛈ rain on me ⛈ may 22 @ladygaga https://t.co/adhIRdQFYs, rain on me  may 22 @ladygaga 
Thu May 14 20:57:18 +0000 2020,limited amount of signed singles by me &amp; justin :) available til midnight https://t.co/fBvTUjrT9w @justinbieber https://t.co/BK8YdYxQPh,limited amount of signed singles by me &amp; justin :) available til midnight  @justinbieber 
Thu May 14 18:10:22 +0000 2020,🏹🤍,🤍
Wed May 13 23:00:41 +0000 2020,🥺 https://t.co/5d0BHHOcOT,🥺 
Wed May 13 22:58:11 +0000 2020,HAHAHAHAHAHAHAH https://t.co/hehqhlVQTW,HAHAHAHAHAHAHAH 
Wed May 13 22:53:15 +0000 2020,jesus christ 😭😭😭😭 https://t.co/2iCW8Hf3mr,jesus christ  
Wed May 13 20:40:15 +0000 2020,hello same https://t.co/9LgxPY8hRe,hello same 
Wed May 13 20:34:32 +0000 2020,"@successfvI don’t get me wrong. it is so much fun to watch u all fight for it and i appreciate u sm. u are the fiercest angels alive. i just had to share. it was weighing on me and i appreciate u listening. i will never play dirty. i don’t enjoy the game. however, i don’t want to let u down.","@successfvI don’t get me wrong. it is so much fun to watch u all fight for it and i appreciate u sm. u are the fiercest angels alive. i just had to share. it was weighing on me and i appreciate u listening. i will never play dirty. i don’t enjoy the game. however, i don’t want to let u down."
Wed May 13 20:30:35 +0000 2020,@successfvI :) 🤍,@successfvI :) 🤍
Wed May 13 18:23:40 +0000 2020,::) https://t.co/wxThwqmP7S,::) 
Wed May 13 18:01:10 +0000 2020,love u most https://t.co/9amwXbznub,love u most 
Wed May 13 17:41:15 +0000 2020,thank u for your kindness and for nerding out over music with me. i had the best time ! love u &amp; thank u @AppleMusic https://t.co/Xdaayejwz0,thank u for your kindness and for nerding out over music with me. i had the best time ! love u &amp; thank u @AppleMusic 
Wed May 13 17:39:08 +0000 2020,the biggest stan. love u always @Thundercat. https://t.co/1AxKAJsl2g,the biggest stan. love u always @Thundercat. 
Wed May 13 17:27:12 +0000 2020,🤍 @AppleMusic @zanelowe,🤍 @AppleMusic @zanelowe
Wed May 13 04:14:50 +0000 2020,https://t.co/l73EYWg1Jd,
Wed May 13 00:10:26 +0000 2020,love u my gill https://t.co/YfZhMfcJaD,love u my gill 
Tue May 12 23:14:15 +0000 2020,"my heart is quite full. a huge thank u to everybody that’s been loving, streaming, buying, dancing to, supporting #stuckwithu all week. we love uuuu. 🏹 https://t.co/4TJkO843zw","my heart is quite full. a huge thank u to everybody that’s been loving, streaming, buying, dancing to, supporting #stuckwithu all week. we love uuuu.  "
Tue May 12 22:46:47 +0000 2020,#stuckwithu @justinbieber https://t.co/rBn8tDebi0 🤍 https://t.co/bp47NDkyOT,#stuckwithu @justinbieber  🤍 
Tue May 12 19:24:13 +0000 2020,spoke to @zanelowe about #stuckwithu &amp; much more music ! airing tomorrow 9am pst on @applemusic 🤍 https://t.co/KQFrzQSkxE https://t.co/voIUGPZ6B8,spoke to @zanelowe about #stuckwithu &amp; much more music ! airing tomorrow 9am pst on @applemusic 🤍  
Mon May 11 22:07:29 +0000 2020,werk. i’m in and more than happy to match the amount. 🏹🤍 #stuckwithu https://t.co/rBn8tDebi0 https://t.co/Pquw4pQDpb,werk. i’m in and more than happy to match the amount. 🤍 #stuckwithu  
Mon May 11 06:23:36 +0000 2020,@AlfredoFlores 🤍,@AlfredoFlores 🤍
Mon May 11 06:23:17 +0000 2020,https://t.co/PK0pRuE8SB,
Mon May 11 04:20:28 +0000 2020,🤍 https://t.co/YDSc184EcU,🤍 
Sun May 10 22:27:56 +0000 2020,🤍 #mothersonthefrontline #firstrespondersstrong https://t.co/ArUvS9J54i,🤍 #mothersonthefrontline #firstrespondersstrong 
Sun May 10 21:50:06 +0000 2020,studio boy #vocalproductionbymyron #stuckwithu https://t.co/rBn8tDebi0 https://t.co/zVPkHQNRdz,studio boy #vocalproductionbymyron #stuckwithu  
Sun May 10 16:38:34 +0000 2020,"everything @joangrande 
i love u forever https://t.co/RZU8YMb8Rd","everything @joangrande 
i love u forever "
Sat May 09 22:47:23 +0000 2020,@joangrande @AlfredoFlores :( miss u,@joangrande @AlfredoFlores :( miss u
Sat May 09 18:29:44 +0000 2020,that’s why when the suns up i’m stayin 🤍,that’s why when the suns up i’m stayin 🤍
Sat May 09 18:27:18 +0000 2020,my heart https://t.co/Sr8NSLCVmK,my heart 
Sat May 09 18:21:57 +0000 2020,#stuckwithu new edit coming ! we love u https://t.co/mdmhICNjGl,#stuckwithu new edit coming ! we love u 
Fri May 08 20:43:02 +0000 2020,#stuckwithu song and video out now 🖤 thank u for being a part of this https://t.co/Jge3wrlJRi https://t.co/MvU9h7V4Ha,#stuckwithu song and video out now  thank u for being a part of this  
Fri May 08 04:02:18 +0000 2020,"#stuckwithu out now 🤍 @justinbieber
proceeds to benefit @1strcf 
thank u @sb_projects
https://t.co/2tEIquI0aJ https://t.co/O5aimK1W0Q","#stuckwithu out now 🤍 @justinbieber
proceeds to benefit @1strcf 
thank u @sb_projects
 "
Fri May 08 03:40:22 +0000 2020,love u more i promise https://t.co/6S52Wxb3K8,love u more i promise 
Fri May 08 03:38:59 +0000 2020,@joangrande @justinbieber @scooterbraun @1strcf mamaaaaaaaaaaaaa !!!!!!,@joangrande @justinbieber @scooterbraun @1strcf mamaaaaaaaaaaaaa !!!!!!
Fri May 08 03:30:40 +0000 2020,missed moments like these with u all. love u so much. hope u enjoy. :)),missed moments like these with u all. love u so much. hope u enjoy. :))
Fri May 08 03:22:32 +0000 2020,🥰,🥰
Fri May 08 03:18:40 +0000 2020,"me too ! it has been a long time comin and i’m so glad we waited so patiently for this. it feels so special. love u, my friend. #stuckwithu 1 hour ! https://t.co/43TGbVZVlO","me too ! it has been a long time comin and i’m so glad we waited so patiently for this. it feels so special. love u, my friend. #stuckwithu 1 hour ! "
Fri May 08 03:02:19 +0000 2020,one hour ! #stuckwithu @justinbieber @1strcf @SB_Projects 🤍 https://t.co/oVMtIjyE3Q,one hour ! #stuckwithu @justinbieber @1strcf @SB_Projects 🤍 
Fri May 08 02:37:15 +0000 2020,"u will see many many loved ones, you’ll have to be on the lookout ::) it makes me heart sing. #stuckwithu https://t.co/dJokEXYtFM","u will see many many loved ones, you’ll have to be on the lookout ::) it makes me heart sing. #stuckwithu "
Fri May 08 02:34:34 +0000 2020,screaming yes https://t.co/hirbDUfTdz,screaming yes 
Fri May 08 02:29:09 +0000 2020,k chill i’m crying https://t.co/XVhfv3zymz,k chill i’m crying 
Fri May 08 02:26:43 +0000 2020,please everyone hold me i had no idea they were adding Liana’s little house artwork to the hashtag and i am very excited about this #stuckwithu,please everyone hold me i had no idea they were adding Liana’s little house artwork to the hashtag and i am very excited about this #stuckwithu
Fri May 08 01:15:19 +0000 2020,three hours #stuckwithu 🤍 @youtube @vevo @justinbieber https://t.co/Jge3wrDkIQ,three hours #stuckwithu 🤍 @youtube @vevo @justinbieber 
Fri May 08 01:14:26 +0000 2020,screamin. love u more. https://t.co/sMsvMmCXsS,screamin. love u more. 
Fri May 08 00:09:39 +0000 2020,! https://t.co/J6N1MzAoyj,! 
Thu May 07 21:11:37 +0000 2020,y’all are so cuuuuuute 🥺 https://t.co/fnZGVZpQUy,y’all are so cuuuuuute 🥺 
Thu May 07 20:51:19 +0000 2020,soon yes. all in support of @1strcf. 🤍 https://t.co/ZgMwUUkroL,soon yes. all in support of @1strcf. 🤍 
Thu May 07 20:36:09 +0000 2020,:)) https://t.co/fLrRkZjGv4,:)) 
Thu May 07 20:32:05 +0000 2020,@remquit @justinbieber i am very glad someone is laughing 😭 the fucking heart attacks i had over this.,@remquit @justinbieber i am very glad someone is laughing  the fucking heart attacks i had over this.
Thu May 07 20:30:26 +0000 2020,"@justinbieber for the record, i did not allow or approve this clip to be in the actual video. but. nonetheless. it exists and that’s ..... unique. 
anyway, 7.5 hours !","@justinbieber for the record, i did not allow or approve this clip to be in the actual video. but. nonetheless. it exists and that’s ..... unique. 
anyway, 7.5 hours !"
Thu May 07 20:02:58 +0000 2020,eight hrs ! #stuckwithu https://t.co/CiWPUynAsX,eight hrs ! #stuckwithu 
Thu May 07 20:01:45 +0000 2020,@universbutera i love that one the most 🪐,@universbutera i love that one the most 🪐
Thu May 07 20:01:03 +0000 2020,excited for everybody to see the video too :)) u and rory did such a beautiful job man https://t.co/FYEYBL3bmc,excited for everybody to see the video too :)) u and rory did such a beautiful job man 
Thu May 07 19:58:33 +0000 2020,@comenasa still love this one ! love u,@comenasa still love this one ! love u
Thu May 07 19:58:17 +0000 2020,@gnightgo @comenasa your love is just enough ! regarding anything i do ! promise. the rest is just icing.,@gnightgo @comenasa your love is just enough ! regarding anything i do ! promise. the rest is just icing.
Thu May 07 19:29:17 +0000 2020,close ! ...... not really no https://t.co/ZJg3y2xtdg,close ! ...... not really no 
Thu May 07 19:26:09 +0000 2020,ever https://t.co/j271y87xFb,ever 
Thu May 07 17:16:30 +0000 2020,🤍🪐 https://t.co/rHDOVyrYCb,🤍🪐 
Thu May 07 17:07:43 +0000 2020,@justinbieber @1strcf 🤍 https://t.co/rxAbeQimct,@justinbieber @1strcf 🤍 
Thu May 07 16:59:24 +0000 2020,oh how i’ve misssssed them and u. #stuckwithu 11 hours. https://t.co/LTzCYPFeyH,oh how i’ve misssssed them and u. #stuckwithu 11 hours. 
Thu May 07 16:56:32 +0000 2020,happy #stuckwithu day everyone ! it’s actually not possible for me to love this song any more than i do. i’m so so excited for u to hear. love u. https://t.co/XEd2q0nXkT,happy #stuckwithu day everyone ! it’s actually not possible for me to love this song any more than i do. i’m so so excited for u to hear. love u. 
Thu May 07 16:52:30 +0000 2020,love u :) https://t.co/IUVsG4etGn,love u :) 
Thu May 07 16:50:40 +0000 2020,! https://t.co/touyGLGV1f,! 
Thu May 07 16:44:54 +0000 2020,tonight ! #stuckwithu https://t.co/oVMtIjyE3Q ::) https://t.co/AQgzn1oJ6i,tonight ! #stuckwithu  ::) 
